The Tale of vadim500a (393872602189266944)
general 2021-04-07 12:06:48 build a giant robot clown
general 2021-04-07 12:06:48 build a giant robot clown
general 2021-04-07 12:08:31 at the same time so that this clown can fly and swim underwater
general 2021-04-07 12:08:31 at the same time so that this clown can fly and swim underwater
bot-central 2021-04-07 12:19:01 !Rank
general 2021-04-07 15:42:02 Hi
general 2021-04-07 15:42:02 Hi
general 2021-04-07 15:47:44 Hi
general 2021-04-07 15:47:44 Hi
general 2021-04-07 15:52:11 Hi XD
general 2021-04-07 15:52:11 Hi XD
general 2021-04-07 15:55:15 Hi
general 2021-04-07 15:55:15 Hi
general 2021-04-07 16:07:20 ._.
general 2021-04-07 16:07:20 ._.
general 2021-04-07 16:09:17 <:FineTroll:626841259746656289>
general 2021-04-07 16:09:17 <:FineTroll:626841259746656289>
general 2021-04-07 16:32:13 pencils
general 2021-04-07 16:32:13 pencils
general 2021-04-07 16:32:19 Hi
general 2021-04-07 16:32:19 Hi
general 2021-04-07 16:37:59 ...
general 2021-04-07 16:37:59 ...
general 2021-04-07 16:46:37 Hi
general 2021-04-07 16:46:37 Hi
general 2021-04-07 16:59:08 Hi
general 2021-04-07 16:59:08 Hi
general 2021-04-07 17:04:59 Bye
general 2021-04-07 17:04:59 Bye
