The Tale of 사전 (566949931374477333)
creations-chat 2021-11-13 02:04:30 yee
general 2022-04-23 11:37:25 <@457827362520694790>
general 2022-04-23 11:37:27 https://lh3.googleusercontent.com/-Ed00CGMVKEg/Wu_a1jw2zQI/AAAAAAACSEQ/6BwTSVyssGotDknZSWPcWMj8D8ZJrQwTgCHMYCw/s0/5ae9db745f0275f629bcc723bc3929ba32f0a2bc.jpg
general 2022-04-23 11:38:03 yea
general 2022-04-23 11:38:35 😛
bot-central 2022-07-26 02:28:14 hahe
bot-central 2022-07-26 02:28:16 hahe
bot-central 2022-07-26 02:28:19 hahe
bot-central 2022-07-26 02:28:21 hahe
bot-central 2022-07-26 02:28:22 hahe
bot-central 2022-07-26 02:28:23 hahe
bot-central 2022-07-26 02:28:47 !rank
bot-central 2022-07-26 02:28:52 hahe
bot-central 2022-07-26 02:28:53 hahe
bot-central 2022-07-26 02:28:53 hahe
bot-central 2022-07-26 02:28:55 !rank
bot-central 2022-07-31 14:17:22 !rank
bot-central 2022-07-31 14:17:27 sadf
bot-central 2022-07-31 14:17:28 asd
bot-central 2022-07-31 14:17:29 fasfffsda
bot-central 2022-07-31 14:17:33 !rank
bot-central 2022-07-31 14:17:38 asdf
bot-central 2022-07-31 14:17:40 fqwet
bot-central 2022-07-31 14:17:41 asdf
bot-central 2022-07-31 14:17:42 asdf
bot-central 2022-07-31 14:33:58 !rank
bot-central 2022-09-06 13:50:51 !ㄱ무ㅏ
bot-central 2022-09-06 13:50:54 !rank
