The Tale of autoradiolysiscapacity (361676037773459456)
bot-central 2020-04-07 17:57:54 =skip
bot-central 2020-04-07 17:58:45 =p https://www.youtube.com/watch?v=rVD1v7j0HIQ
bot-central 2020-04-07 17:58:50 =play https://www.youtube.com/watch?v=rVD1v7j0HIQ
bot-central 2020-04-07 18:01:36 =play https://www.youtube.com/watch?v=qIUhfD06-cI&list=RDqIUhfD06-cI&start_radio=1
bot-central 2020-04-07 18:01:46 =p https://www.youtube.com/watch?v=qIUhfD06-cI&list=RDqIUhfD06-cI&start_radio=1
bot-central 2020-04-07 18:24:16 =play https://www.youtube.com/watch?v=7YTncfDAEw4
bot-central 2020-04-07 18:28:11 =play https://www.youtube.com/watch?v=sGkh1W5cbH4
bot-central 2020-04-07 18:29:00 =play https://www.youtube.com/watch?v=yCykHHqk_z0
bot-central 2020-04-14 22:13:46 !play https://www.youtube.com/watch?v=njw3ncbEd0s
bot-central 2020-04-14 22:13:52 !p https://www.youtube.com/watch?v=njw3ncbEd0s
