The Tale of dr.frost._. (860867969466236998)
creations-chat 2023-05-26 22:00:45 Why can’t I post my mecha snake here <:nooo:787097964946259978>
creations-chat 2023-05-26 22:05:58 Oh
bot-central 2023-05-26 22:07:08 !rank
bot-central 2023-05-27 03:12:56 !rank
bot-central 2023-05-27 15:18:32 !rank
bot-central 2023-05-29 02:44:38 !rank
bot-central 2023-05-29 14:38:32 !rank
bot-central 2023-06-11 18:12:26 !rank
bot-central 2023-06-13 22:14:25 !rank
bot-central 2023-06-13 22:14:31 YOOOO
bot-central 2023-06-13 22:14:38 LETSSS GOOOO
bot-central 2023-06-13 22:14:41 WAIT
bot-central 2023-06-13 22:14:45 !rank
bot-central 2023-06-13 22:22:58 !rank
